row_id,character,unicode_codepoint,scope,candidate_structure_label,candidate_decomposition,direct_component_candidates,radical,standard_evidence_status,existing_score,existing_max,component_validity_score,component_validity_status,radical_validity_score,radical_validity_status,structure_first_decomposition_score,structure_first_decomposition_status,newly_assigned_score,assigned_score,formal_total,row_score_status,remaining_blocked_items,cnbe_write_status,database_rebuild_status,review_notice
8105_core_control_090,障,U+969C,8105_national_standard_core,左右,⿰阝章,章 阝,阝,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_091,鞋,U+978B,8105_national_standard_core,左右,⿰革圭,革 圭,革,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_092,飑,U+98D1,8105_national_standard_core,左下包,⿺风包,包 风,风,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_093,驸,U+9A78,8105_national_standard_core,左右,⿰马付,马 付,马,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_094,鬣,U+9B23,8105_national_standard_core,上下,⿱髟巤,髟 巤,髟,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_095,鲼,U+9CBC,8105_national_standard_core,左右,⿰鱼贲,鱼 贲,鱼,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_096,鹋,U+9E4B,8105_national_standard_core,左右,⿰苗鸟,苗 鸟,鸟,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_097,黻,U+9EFB,8105_national_standard_core,左右,⿰黹犮,犮 黹,黹,COMPLETE,6,6,3,PASS_NATIONAL_STANDARD_COMPONENT_CANDIDATE,3,PASS_NATIONAL_STANDARD_RADICAL_CANDIDATE,20,PASS_NATIONAL_STANDARD_STRUCTURE_DECOMPOSITION_CANDIDATE,26,32,50,STRUCTURE_ITEMS_SCORED_REMAINING_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_098,𨱔,U+28C54,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_099,𬒈,U+2C488,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
8105_core_control_100,𬺓,U+2CE93,8105_national_standard_core,,,,,REVIEW_REQUIRED,6,6,0,NOT_SCORABLE_COMPONENT_EVIDENCE_GAP,0,NOT_SCORABLE_RADICAL_EVIDENCE_GAP,0,NOT_SCORABLE_STRUCTURE_DECOMPOSITION_EVIDENCE_GAP,0,6,50,PARTIAL_SCORE_ONLY_REMAINING_STRUCTURE_ITEMS_BLOCKED,stroke_shape;component_name_validity;independent_character_rule;component_validity;radical_validity;structure_first_decomposition,NO_CNBE_WRITE,NO_DATABASE_REBUILD,GF0017_STRUCTURE_ITEM_SCORING_ONLY_NOT_ENCODING
